id,title,tags,contenttype,usedin,featured,url,educationalrole,author,publisher,inlanguage,license,licenseurl
1,apple,fruit,illustration,,yes,https://images-316715.ew.r.appspot.com/resourses/images/apple.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
2,arithmetic,math,illustration,,yes,https://images-316715.ew.r.appspot.com/resourses/images/arithmetic.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
3,avocado,fruit,illustration,,yes,https://images-316715.ew.r.appspot.com/resourses/images/avocado.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
4,badge,,illustration,,yes,https://images-316715.ew.r.appspot.com/resourses/images/badge.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
5,bag,,illustration,,yes,https://images-316715.ew.r.appspot.com/resourses/images/bag.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
6,ball,,illustration,,no,https://images-316715.ew.r.appspot.com/resourses/images/ball.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
7,banana,fruit,illustration,,yes,https://images-316715.ew.r.appspot.com/resourses/images/banana.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
8,basketball,sport,illustration,,no,https://images-316715.ew.r.appspot.com/resourses/images/basketball.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
9,biliard ball,sport,illustration,,no,https://images-316715.ew.r.appspot.com/resourses/images/biliard-ball.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
10,bird,animal,illustration,,yes,https://images-316715.ew.r.appspot.com/resourses/images/bird.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
11,blue_blue,,illustration,,yes,https://images-316715.ew.r.appspot.com/resourses/images/blue_blue.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
12,blueberries,fruit,illustration,,no,https://images-316715.ew.r.appspot.com/resourses/images/blueberries.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
13,boat,,illustration,,yes,https://images-316715.ew.r.appspot.com/resourses/images/boat.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
14,book and board,,illustration,,no,https://images-316715.ew.r.appspot.com/resourses/images/book-and-board.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
15,books,,illustration,,yes,https://images-316715.ew.r.appspot.com/resourses/images/books.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
16,brain,,illustration,,yes,https://images-316715.ew.r.appspot.com/resourses/images/brain.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
17,broccoli,fruit,illustration,,no,https://images-316715.ew.r.appspot.com/resourses/images/broccoli.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
18,button,,illustration,,no,https://images-316715.ew.r.appspot.com/resourses/images/button.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
19,cactus,plant,illustration,,yes,https://images-316715.ew.r.appspot.com/resourses/images/cactus.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
20,cards 2,,illustration,,no,https://images-316715.ew.r.appspot.com/resourses/images/cards-2.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
21,cards collection,,illustration,,no,https://images-316715.ew.r.appspot.com/resourses/images/cards-collection.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
22,cards,,illustration,,no,https://images-316715.ew.r.appspot.com/resourses/images/cards.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
23,carrot,,illustration,,no,https://images-316715.ew.r.appspot.com/resourses/images/carrot.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
24,cheese,,illustration,,no,https://images-316715.ew.r.appspot.com/resourses/images/cheese.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
